City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
126,Parabel,58.6978,81.4825,56.19,90,99,3.09,RU,2022-07-16 14:50:00,light rain
127,Batemans Bay,-35.7167,150.1833,49.1,48,0,12.33,AU,2022-07-16 14:50:00,clear sky
128,Bambanglipuro,-7.95,110.2833,76.62,88,74,7.72,ID,2022-07-16 14:50:00,broken clouds
129,Hithadhoo,-0.6,73.0833,83.46,76,33,14.56,MV,2022-07-16 14:50:01,scattered clouds
130,Vostok,46.4856,135.8833,57.02,97,100,3.29,RU,2022-07-16 14:50:01,light rain
131,Poum,-20.2333,164.0167,69.96,60,1,14.2,NC,2022-07-16 14:50:01,clear sky
132,Aksu,41.1231,80.2644,84.22,26,0,6.11,CN,2022-07-16 14:50:02,clear sky
133,Monrovia,6.3005,-10.7969,82.17,80,73,10.51,LR,2022-07-16 14:50:02,light rain
134,Kristiansund,63.1115,7.732,53.65,76,75,18.41,NO,2022-07-16 14:50:03,broken clouds
135,Armidale,-30.5167,151.65,37.27,78,100,5.64,AU,2022-07-16 14:50:03,overcast clouds
136,Lorengau,-2.0226,147.2712,81.46,80,5,10.04,PG,2022-07-16 14:50:03,clear sky
137,Saskylakh,71.9167,114.0833,55.78,63,35,10.51,RU,2022-07-16 14:50:05,scattered clouds
138,Ancud,-41.8697,-73.8203,43.23,76,100,13.96,CL,2022-07-16 14:50:05,overcast clouds
139,Cairo,30.0626,31.2497,90.36,37,0,11.5,EG,2022-07-16 14:50:06,clear sky
140,Paamiut,61.994,-49.6678,40.37,86,100,8.5,GL,2022-07-16 14:50:07,overcast clouds
141,Ushuaia,-54.8,-68.3,38.86,60,40,5.75,AR,2022-07-16 14:49:33,scattered clouds
142,Along,28.1667,94.7667,78.57,96,84,0.25,IN,2022-07-16 14:50:07,broken clouds
143,Faanui,-16.4833,-151.75,77.36,69,22,25.05,PF,2022-07-16 14:50:07,few clouds
144,Kapaa,22.0752,-159.319,79.12,85,100,13.8,US,2022-07-16 14:50:08,overcast clouds
145,Vanimo,-2.6741,141.3028,78.73,88,86,7.23,PG,2022-07-16 14:50:08,overcast clouds
146,Komsomolskiy,40.4272,71.7189,95.72,16,0,4.61,UZ,2022-07-16 14:50:09,clear sky
147,Dzhebariki-Khaya,62.2167,135.8,71.22,77,67,1.34,RU,2022-07-16 14:50:09,broken clouds
148,Halden,59.1226,11.3871,70.63,47,33,11.1,NO,2022-07-16 14:50:09,scattered clouds
149,Lewistown,40.5992,-77.5714,76.15,100,100,2.68,US,2022-07-16 14:50:10,overcast clouds
150,Iskateley,67.6803,53.1512,70.36,84,91,5.28,RU,2022-07-16 14:50:10,moderate rain
151,Nikolskoye,59.7035,30.7861,64.87,61,50,8.9,RU,2022-07-16 14:50:11,scattered clouds
